Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7uF,
"C10, C11, C2, C3, C5",0603,5,0.1uF,
"C12, C13, C16, C4",0603,4,1uF,
"C14, C15",0603,2,100nF,
"C6, C7",0603,2,9pF,
"C8, C9",0603,2,12pF,
D1,0603,1,Red,
D2,0603,1,Blue,
J1,USB-C_16,1,USB_C_Receptacle,
"J2, J3",1x20,2,Conn_01x20,
J4,1x04,1,Conn_01x04,
"R1, R2, R3, R6",0603,4,5.1k,
R4,0603,1,10k,
"R5, R7, R8",0603,3,1k,
"SW1, SW2, SW3",Push_SMD_4.2x3.2mm,3,SMD_4.2x3.2mm_h2.5mm,
U1,QFP-48_8.35x8.35_Pitch0.5mm,1,~,
U2,SGM2019,1,~,
Y1,Crystal_SMD_3.2x2.5mm,1,8MHz,
Y2,Crystal_SMD_3.2x1.5mm,1,32.768kHz,
