Designator,Mid X,Mid Y,Rotation,Layer
C1,221.118008,-34.359616,135.0,bottom
C10,228.538008,-36.501992,135.0,bottom
C11,229.548008,-37.541992,135.0,bottom
C12,214.12,-36.175,90.0,bottom
C13,217.09,-40.325,90.0,bottom
C14,215.58,-40.33,90.0,bottom
C15,214.06,-40.335,90.0,bottom
C16,245.2,-33.0,0.0,top
C2,220.03,-33.287624,315.0,bottom
C3,233.75,-40.08,135.0,bottom
C4,234.77,-41.14,135.0,bottom
C5,220.32,-33.6,270.0,top
C6,238.825,-40.4,0.0,top
C7,238.895,-38.31,0.0,top
C8,239.06,-35.9,90.0,top
C9,239.08,-32.925,90.0,top
D1,242.19,-40.85,0.0,top
D2,242.1075,-33.01,0.0,top
J1,208.7325,-37.0,270.0,top
J2,229.0,-29.37,0.0,top
J3,228.98,-44.63,180.0,top
J4,250.63,-37.01,90.0,top
R1,214.965,-33.89,180.0,bottom
R2,216.4175,-36.5325,0.0,top
R3,214.96,-37.89,0.0,top
R4,220.0,-40.856,90.0,top
R5,218.115,-37.89,0.0,top
R6,245.185,-34.48,0.0,top
R7,245.1725,-40.85,180.0,top
R8,242.105,-34.47,0.0,top
SW1,216.33,-33.52,0.0,top
SW2,216.33,-40.77,0.0,top
SW3,243.59,-37.9,180.0,top
U1,227.59,-37.0,225.0,top
U2,214.97,-38.74,180.0,bottom
Y1,236.59,-34.7,90.0,top
Y2,235.98,-39.26,270.0,top
